C1906TS003_1 C1906TS003_2 C1906TS003_3 C1906TS044_1 C1906TS066_1 C1906TS067_1 C1906TS067_2 C1906TS067_3 C1906TS067_4 C1906TS067_5 C1906TS073_1 C1906TS073_2 C1906TS073_3 C1906TS073_4 C1906TS073_5 C1906TS087_1 C1906TS087_2 C1906TS087_3 C1906TS087_4 C1906TS102_1 C1906TS102_2 C1906TS103_1 C1906TS103_2 C1906TS123_1 C1906TS123_2 C1906TS123_3 C1906TS123_4 C1906TS123_5 C1906TS131_1 C1906TS131_2 C1906TS131_3 C1906TS131_4 C1906TS131_5 C1906TS152_1 C1906TS152_2 C1906TS152_3 C1906TS152_4 C1906TS152_5 C1906TS156_1 C1906TS156_2 C1906TS156_3 C1906TS156_4 C1906TS156_5 C1906TS158_1 C1906TS158_2 C1906TS158_3 C1906TS158_4 C1906TS158_5 C1906TS182_1 C1906TS182_2 C1906TS182_3 C1906TS182_4 C1906TS182_5 C1906TS196_1 C1906TS200_1 C1906TS210_1 C1906TS210_2 C1906TS210_3 C1906TS210_4 C1906TS210_5 C1906TS211_1 C1906TS211_2 C1906TS211_3 C1906TS211_4 C1906TS211_5 C1906TS213_1 C1906TS213_2 C1906TS213_3 C1906TS213_4 C1906TS213_5 C1906TS215_1 C1906TS215_2 C1906TS215_3 C1906TS215_4 C1906TS215_5 C1906TS228_1 C1906TS230_1 C1906TS230_2 C1906TS230_3 C1906TS230_4 C1906TS230_5 C1906TS240_1 C1906TS240_2 C1906TS240_3 C1906TS240_4 C1906TS240_5 C1906TS247_1 C1906TS247_2 C1906TS247_3 C1906TS247_4 C1906TS247_5 C1906TS258_1 C1906TS258_2 C1906TS258_3 C1906TS258_4 C1906TS258_5 C1906TS270_1 C1906TS273_1 C1906TS273_2 C1906TS273_3 C1906TS273_4 C1906TS273_5 C1906TS278_1 C1906TS278_2 C1906TS278_3 C1906TS278_4 C1906TS278_5 C1906TS299_1 C1906TS299_2 C1906TS299_3 C1906TS299_4 C1906TS299_5 C1906TS301_1 C1906TS309_1 C1906TS309_2 C1906TS309_3 C1906TS309_4 C1906TS309_5 C1906TS346_1 C1906TS347_1 C1906TS349_1 C1906TS349_2 C1906TS349_3 C1906TS349_4 C1906TS349_5 C1906TS359_1 C1906TS369_1 C1906TS369_2 C1906TS369_3 C1906TS369_4 C1906TS369_5 C1906TS389_1 C1906TS389_2 C1906TS389_3 C1906TS389_4 C1906TS389_5 C1906TS401_1 C1906TS404_1 C1906TS404_2 C1906TS404_3 C1906TS404_4 C1906TS404_5 C1906TS405_1 C1906TS405_2 C1906TS405_3 C1906TS405_4 C1906TS405_5 C1906TS413_1 C1906TS413_2 C1906TS413_3 C1906TS413_4 C1906TS413_5 C1906TS414_1 C1906TS414_2 C1906TS414_3 C1906TS414_4 C1906TS414_5 C1906TS438_1 C1906TS438_2 C1906TS438_3 C1906TS438_4 C1906TS438_5
1 0.322491 0.31798 0.407285 0.291841 0.313288 0.320555 0.322261 0.277362 0.27775 0.363514 0.361655 0.358124 0.340714 0.358307 0.401432 0.400507 0.359707 0.388333 0.318753 0.390385 0.306862 0.318753 0.358448 0.335995 0.322598 0.322598 0.322598 0.40959 0.405405 0.406463 0.405538 0.406901 0.409699 0.405203 0.400964 0.398068 0.331441 0.380896 0.383967 0.377622 0.378723 0.370214 0.233897 0.287864 0.300483 0.300172 0.291497 0.31055 0.359017 0.299596 0.3617 0.344043 0.387899 0.318824 0.389362 0.358078 0.385021 0.363271 0.370393 0.39145 0.351506 0.334217 0.326994 0.333957 0.407428 0.409273 0.412253 0.404167 0.405493 0.392955 0.376977 0.376739 0.399859 0.375687 0.406983 0.315613 0.330637 0.322259 0.329299 0.318393 0.380653 0.384391 0.393069 0.378488 0.384505 0.39377 0.398529 0.375509 0.379663 0.381351 0.349786 0.358938 0.354231 0.374612 0.364219 0.351861 0.33541 0.336396 0.334961 0.229558 0.286034 0.40565 0.390375 0.396562 0.400596 0.405819 0.40565 0.390375 0.396562 0.400596 0.405819 0.407285 0.371611 0.384539 0.372907 0.371688 0.369813 0.140924 0.350846 0.33279 0.354985 0.332234 0.332797 0.363658 0.397769 0.403603 0.406086 0.399576 0.401054 0.396796 0.371947 0.388608 0.3573 0.343171 0.343638 0.340624 0.343048 0.344894 0.343287 0.345856 0.343259 0.389362 0.388406 0.388172 0.369308 0.383529 0.402259 0.392876 0.416091 0.398072 0.390638 0.393944 0.392174 0.390135 0.38742 0.39533 0.403762 0.410157 0.412443 0.408505 0.409241
0.387974 1 0.355063 0.440908 0.367089 0.364124 0.38777 0.379151 0.343253 0.343242 0.380441 0.404724 0.399759 0.391348 0.393449 0.435962 0.441242 0.403353 0.429539 0.387682 0.444898 0.349086 0.387682 0.393409 0.403831 0.372104 0.372104 0.372104 0.417 0.414888 0.418865 0.413465 0.420393 0.446304 0.451805 0.443472 0.44051 0.382722 0.437033 0.424183 0.419161 0.427769 0.427729 0.307288 0.371691 0.34156 0.326177 0.33264 0.365294 0.399371 0.370506 0.405455 0.381596 0.439931 0.37823 0.418374 0.412098 0.401151 0.394366 0.399803 0.436637 0.390455 0.386832 0.389487 0.38134 0.438987 0.441693 0.440208 0.444031 0.446852 0.432696 0.427952 0.417345 0.415701 0.423453 0.438737 0.379546 0.382498 0.376883 0.380448 0.356039 0.427313 0.421158 0.43349 0.42893 0.428839 0.427398 0.427893 0.42971 0.419168 0.423682 0.405305 0.424343 0.409571 0.408588 0.419696 0.414283 0.38019 0.393749 0.390988 0.234696 0.332068 0.441125 0.434002 0.441123 0.438149 0.432904 0.441125 0.434002 0.441123 0.438149 0.432904 0.440908 0.428603 0.402156 0.398107 0.406716 0.393371 0.157166 0.379225 0.388053 0.410132 0.41128 0.409026 0.406534 0.437851 0.438899 0.442254 0.443632 0.432251 0.433724 0.422143 0.435663 0.426863 0.411744 0.389342 0.37 0.386804 0.389279 0.385416 0.385765 0.390182 0.418374 0.430834 0.428801 0.431535 0.429653 0.429801 0.438982 0.438139 0.443852 0.435818 0.42911 0.427168 0.424066 0.452343 0.433488 0.434773 0.429783 0.43796 0.431153 0.436887
0.35264 0.335256 1 0.379842 0.336629 0.339798 0.323385 0.329823 0.320126 0.307251 0.342028 0.355486 0.356934 0.358438 0.361685 0.36944 0.367022 0.374921 0.375565 0.354755 0.383398 0.330679 0.354755 0.356737 0.366022 0.356568 0.356568 0.356568 0.359764 0.361335 0.36114 0.361728 0.361244 0.388615 0.382478 0.384098 0.383442 0.358114 0.37082 0.37203 0.368408 0.369685 0.371676 0.302806 0.34213 0.33432 0.311599 0.324549 0.311266 0.347988 0.308189 0.352354 0.339626 0.382992 0.327113 0.371429 0.351288 0.358928 0.349294 0.375276 0.383181 0.360299 0.360783 0.358256 0.350537 0.372753 0.371018 0.38122 0.379262 0.373566 0.358882 0.362028 0.373805 0.37057 0.351188 0.369809 0.360427 0.334666 0.345897 0.347191 0.357517 0.378153 0.37008 0.3695 0.374595 0.364376 0.388512 0.370781 0.358437 0.367807 0.379337 0.369414 0.367244 0.356081 0.374019 0.362978 0.372302 0.348462 0.361561 0.360539 0.251139 0.332654 0.376616 0.368739 0.371302 0.373544 0.358272 0.376616 0.368739 0.371302 0.373544 0.358272 0.379842 0.375581 0.372058 0.360946 0.359785 0.357221 0.14898 0.358301 0.370939 0.377864 0.353547 0.364601 0.364274 0.38535 0.372134 0.386815 0.379407 0.382961 0.373524 0.375035 0.388515 0.375032 0.348126 0.355469 0.318126 0.354931 0.358811 0.350993 0.352068 0.357737 0.371429 0.379154 0.383835 0.377127 0.384711 0.379618 0.372461 0.375274 0.385301 0.379263 0.391066 0.383811 0.379914 0.380972 0.381742 0.38135 0.381392 0.3772 0.388169 0.377372
0.339606 0.311986 0.281028 1 0.297364 0.275178 0.290544 0.289726 0.225416 0.220946 0.392119 0.396118 0.421926 0.392927 0.388779 0.573931 0.55944 0.428187 0.50757 0.310601 0.509359 0.308326 0.310601 0.351339 0.33633 0.341908 0.341908 0.341908 0.567446 0.567173 0.565147 0.56235 0.567008 0.542516 0.535822 0.810259 0.521156 0.369761 0.520429 0.50808 0.507261 0.503938 0.501422 0.206548 0.261858 0.27593 0.279125 0.302335 0.303713 0.344668 0.312555 0.361671 0.344437 0.491247 0.334167 0.501811 0.452532 0.471199 0.433229 0.500439 0.525443 0.350473 0.370899 0.358693 0.360386 0.833755 0.851054 0.832448 0.832265 0.840725 0.618489 0.526784 0.540802 0.555862 0.563838 0.803947 0.314165 0.318387 0.300811 0.312909 0.312246 0.405976 0.41272 0.423393 0.420248 0.426954 0.490691 0.520946 0.513165 0.51069 0.489526 0.369783 0.396748 0.351823 0.382744 0.373531 0.384206 0.36574 0.370836 0.371436 0.211394 0.263892 0.552288 0.541396 0.537302 0.538889 0.549764 0.552288 0.541396 0.537302 0.538889 0.549764 1 0.526787 0.499894 0.473815 0.497344 0.469547 0.122536 0.321909 0.340357 0.356873 0.343735 0.346123 0.37978 0.528773 0.488377 0.519637 0.511501 0.497649 0.484964 0.386294 0.369889 0.375037 0.388722 0.366729 0.480501 0.33516 0.333725 0.333873 0.33401 0.333059 0.501811 0.507913 0.505763 0.499222 0.499696 0.528498 0.534721 0.527231 0.529101 0.51979 0.53849 0.496445 0.496774 0.467539 0.501361 0.537888 0.582384 0.534807 0.537998 0.532478
0.292332 0.306072 0.291068 0.347729 1 0.262414 0.269051 0.267008 0.259038 0.260111 0.308186 0.307035 0.3149 0.318886 0.299094 0.357492 0.363174 0.336553 0.342169 0.281436 0.345566 0.268403 0.281436 0.320766 0.305002 0.28873 0.28873 0.28873 0.337215 0.338534 0.339204 0.343107 0.342119 0.366992 0.35455 0.350975 0.356745 0.312198 0.356072 0.351786 0.339242 0.347852 0.344129 0.237856 0.275855 0.282754 0.273311 0.274849 0.266414 0.328556 0.268008 0.331698 0.33018 0.343495 0.319312 0.354611 0.324332 0.319475 0.32417 0.330974 0.356868 0.303004 0.30796 0.319608 0.311766 0.33971 0.344414 0.34909 0.347117 0.34078 0.341738 0.337061 0.334248 0.334602 0.331251 0.345687 0.273607 0.271232 0.289069 0.287387 0.283918 0.348618 0.355992 0.346126 0.328358 0.349344 0.345237 0.351285 0.341621 0.353326 0.356575 0.314741 0.320568 0.302826 0.30931 0.305675 0.314421 0.313141 0.312177 0.308921 0.194563 0.249372 0.358328 0.356793 0.352061 0.361844 0.361551 0.358328 0.356793 0.352061 0.361844 0.361551 0.347729 0.34052 0.358086 0.337989 0.350594 0.335814 0.128246 0.286658 0.307815 0.324089 0.303691 0.304515 0.30843 0.351973 0.341411 0.347166 0.345243 0.346463 0.338041 0.322987 0.317523 0.320003 0.326238 0.317864 0.310342 0.320427 0.323274 0.322476 0.316224 0.323846 0.354611 0.363461 0.361739 0.352714 0.353673 0.355662 0.363888 0.34896 0.346915 0.349195 0.345444 0.339173 0.342484 0.341853 0.355659 0.360387 0.360349 0.359459 0.364387 0.359838
0.259969 0.254174 0.253189 0.274466 0.235031 1 0.297278 0.291866 0.255896 0.246958 0.256595 0.257138 0.260232 0.262038 0.262876 0.282324 0.281332 0.263362 0.269947 0.277118 0.271758 0.260558 0.277118 0.257279 0.272101 0.259901 0.259901 0.259901 0.275275 0.271651 0.270812 0.27688 0.276311 0.283273 0.285112 0.287929 0.276866 0.269999 0.281184 0.279254 0.279914 0.273804 0.273171 0.194239 0.227984 0.239317 0.243164 0.244879 0.239133 0.263232 0.247697 0.263602 0.254967 0.276653 0.255169 0.271947 0.25291 0.262383 0.259966 0.264209 0.280644 0.284236 0.266404 0.26637 0.262723 0.276853 0.27345 0.272435 0.281121 0.277862 0.277359 0.284131 0.279312 0.278092 0.283274 0.277933 0.264284 0.273913 0.265746 0.260295 0.258203 0.278432 0.284513 0.271195 0.273678 0.274682 0.269892 0.275427 0.264729 0.26743 0.281149 0.268235 0.272843 0.283568 0.284897 0.288022 0.257687 0.262265 0.26033 0.267005 0.188879 0.254756 0.285892 0.283901 0.285147 0.277515 0.275869 0.285892 0.283901 0.285147 0.277515 0.275869 0.274466 0.284716 0.2774 0.268571 0.270856 0.277107 0.0914796 0.302873 0.274355 0.278103 0.269827 0.271581 0.263337 0.28994 0.268371 0.276804 0.269402 0.267542 0.271075 0.262134 0.272233 0.265683 0.250418 0.250786 0.230631 0.259661 0.265352 0.2611 0.259701 0.25989 0.271947 0.268562 0.273038 0.264919 0.279357 0.286037 0.284964 0.285764 0.285816 0.279651 0.280026 0.271836 0.269729 0.276478 0.273043 0.285468 0.274402 0.284869 0.283822 0.284296
0.287394 0.282766 0.256079 0.310029 0.241086 0.315992 1 0.711053 0.25709 0.267179 0.277292 0.299599 0.298625 0.296321 0.28377 0.31746 0.326569 0.306413 0.316596 0.308002 0.314785 0.276497 0.308002 0.300016 0.283898 0.301706 0.301706 0.301706 0.325779 0.322221 0.319859 0.318255 0.321986 0.321139 0.321511 0.317948 0.322855 0.29618 0.312986 0.30975 0.310675 0.314983 0.30935 0.207373 0.260189 0.27118 0.242554 0.249707 0.265093 0.293714 0.271145 0.295362 0.291353 0.321437 0.262111 0.307435 0.300479 0.315845 0.319079 0.29054 0.328843 0.310264 0.29666 0.292977 0.292355 0.314447 0.308723 0.309529 0.311 0.311288 0.313352 0.322924 0.316523 0.310447 0.312699 0.309816 0.294083 0.299449 0.291015 0.298667 0.29445 0.301656 0.307306 0.309091 0.317764 0.304892 0.310672 0.31999 0.312331 0.31677 0.305 0.299845 0.313198 0.300304 0.317761 0.313386 0.280368 0.299853 0.297457 0.298405 0.195905 0.235208 0.325928 0.327891 0.319953 0.32376 0.327673 0.325928 0.327891 0.319953 0.32376 0.327673 0.310029 0.321305 0.322153 0.309533 0.317164 0.313813 0.0951785 0.301332 0.294434 0.314382 0.301003 0.287156 0.295976 0.322565 0.326887 0.330234 0.328875 0.319943 0.329833 0.302865 0.319316 0.289026 0.299698 0.289723 0.271711 0.295424 0.291387 0.293381 0.292012 0.294846 0.307435 0.311476 0.312565 0.306809 0.316796 0.304315 0.312993 0.321892 0.328254 0.320137 0.305059 0.318189 0.308554 0.314325 0.311967 0.318267 0.324356 0.325632 0.320125 0.321107
0.288469 0.274812 0.260355 0.311868 0.24441 0.307334 0.719334 1 0.266359 0.270974 0.287625 0.295639 0.303535 0.301396 0.289664 0.318275 0.321602 0.306924 0.316113 0.304201 0.313614 0.283165 0.304201 0.299196 0.282732 0.301215 0.301215 0.301215 0.324775 0.31849 0.316391 0.315368 0.319408 0.316148 0.322567 0.317405 0.327639 0.293624 0.313318 0.309928 0.314041 0.31224 0.304284 0.212146 0.267413 0.278553 0.237062 0.248206 0.269583 0.296588 0.27048 0.294049 0.295139 0.32154 0.271362 0.305272 0.307468 0.319211 0.314175 0.295692 0.328023 0.313434 0.287548 0.291914 0.292864 0.312644 0.30783 0.311815 0.313244 0.313192 0.317256 0.324857 0.315019 0.312025 0.315984 0.31556 0.29749 0.297668 0.289376 0.2984 0.298946 0.301447 0.305269 0.308096 0.313888 0.307491 0.309073 0.321259 0.30598 0.312169 0.308167 0.300719 0.300929 0.296197 0.309167 0.312586 0.282344 0.299156 0.290785 0.291783 0.19615 0.241597 0.326704 0.332267 0.323117 0.325725 0.325341 0.326704 0.332267 0.323117 0.325725 0.325341 0.311868 0.308546 0.320629 0.316225 0.316516 0.315837 0.0985496 0.298726 0.29687 0.325435 0.300153 0.292166 0.296417 0.328985 0.328129 0.329052 0.32759 0.319372 0.332237 0.29694 0.313356 0.297152 0.30592 0.296157 0.271712 0.297724 0.291976 0.29214 0.294119 0.29776 0.305272 0.315733 0.316208 0.313091 0.320442 0.305577 0.320157 0.320771 0.329073 0.320209 0.315633 0.320221 0.315348 0.311818 0.317795 0.317386 0.319591 0.319846 0.319231 0.321451
0.273164 0.275878 0.282821 0.267369 0.267381 0.299276 0.303065 0.303699 1 0.611255 0.275101 0.267278 0.269851 0.275389 0.269777 0.257948 0.279972 0.271862 0.261087 0.267946 0.267356 0.246543 0.267946 0.265173 0.267703 0.267041 0.267041 0.267041 0.268369 0.265592 0.271509 0.266097 0.274259 0.277084 0.2718 0.270252 0.274194 0.25964 0.266216 0.264964 0.264423 0.264467 0.266618 0.255253 0.260614 0.273469 0.253331 0.271127 0.242181 0.269768 0.23832 0.269395 0.266806 0.275317 0.250299 0.264968 0.256651 0.24959 0.255653 0.253208 0.275155 0.286093 0.258121 0.262518 0.264791 0.261898 0.263732 0.263908 0.262147 0.267182 0.260252 0.269975 0.269716 0.27183 0.267478 0.263233 0.271953 0.257211 0.283983 0.274179 0.276606 0.267606 0.268718 0.26929 0.263481 0.271603 0.270847 0.270734 0.257416 0.266638 0.262887 0.264643 0.264332 0.260554 0.273548 0.272001 0.281838 0.268029 0.264858 0.265109 0.195695 0.273333 0.270373 0.273825 0.269371 0.272783 0.262662 0.270373 0.273825 0.269371 0.272783 0.262662 0.267369 0.257389 0.268355 0.250671 0.25984 0.2474 0.119137 0.282444 0.268801 0.267742 0.268538 0.27296 0.265063 0.26886 0.271024 0.283908 0.27426 0.256099 0.277496 0.268706 0.267292 0.2672 0.259391 0.272287 0.223498 0.248731 0.24897 0.245731 0.248021 0.250996 0.264968 0.268517 0.277615 0.276182 0.271089 0.274647 0.269772 0.268812 0.275646 0.276983 0.274033 0.276047 0.27694 0.276574 0.267233 0.279211 0.269014 0.277031 0.277972 0.274292
0.277651 0.283383 0.270259 0.267281 0.259865 0.297359 0.311953 0.30479 0.614974 1 0.271385 0.265862 0.267926 0.275338 0.268467 0.264924 0.279748 0.266851 0.259874 0.259107 0.267242 0.243549 0.259107 0.258379 0.257729 0.264875 0.264875 0.264875 0.268016 0.263489 0.268653 0.264799 0.270305 0.269781 0.271085 0.271022 0.271452 0.261839 0.264069 0.266718 0.259127 0.26913 0.27215 0.249692 0.249449 0.264226 0.245672 0.262472 0.243689 0.278664 0.243945 0.272076 0.270171 0.273219 0.245236 0.258785 0.254919 0.253007 0.250392 0.253725 0.27262 0.284295 0.268617 0.263303 0.2664 0.261564 0.264008 0.26735 0.259335 0.269215 0.258244 0.271755 0.267555 0.276843 0.262619 0.265439 0.265513 0.257213 0.275782 0.270789 0.262967 0.271562 0.273764 0.272329 0.268272 0.268346 0.26635 0.270384 0.258969 0.262511 0.266981 0.271891 0.259447 0.261844 0.270828 0.264533 0.266384 0.270058 0.269009 0.268749 0.194077 0.267001 0.273169 0.275551 0.276776 0.273947 0.265172 0.273169 0.275551 0.276776 0.273947 0.265172 0.267281 0.26738 0.272047 0.249286 0.259818 0.255596 0.114113 0.287332 0.261806 0.277522 0.265955 0.267339 0.260825 0.271236 0.27157 0.27273 0.27134 0.261039 0.265301 0.254331 0.264177 0.252734 0.26356 0.253768 0.227665 0.245034 0.241839 0.240519 0.240471 0.242783 0.258785 0.264486 0.272621 0.268861 0.26778 0.27211 0.266085 0.270749 0.276993 0.267101 0.270134 0.269828 0.272933 0.265994 0.264406 0.278006 0.270499 0.277396 0.2796 0.273084
