model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_all
C1902d1TS273_1  [0.637]  [0.569]  [0.538]  [0.515]  0.506    0.494    0.492    0.493    0.496    0.489     0.398
C1902d1TS438_4  0.475    0.504    0.516    0.503    [0.522]  [0.520]  [0.521]  [0.523]  [0.521]  [0.516]   [0.453]
C1902d1TS258_4  0.468    0.465    0.462    0.471    0.480    0.479    0.487    0.492    0.488    0.487     0.409
C1902d1TS131_4  0.459    0.506    0.507    0.496    0.503    0.503    0.506    0.501    0.507    0.503     0.425
C1902d1TS273_4  0.459    0.473    0.487    0.483    0.500    0.494    0.492    0.494    0.500    0.494     0.425
C1902d1TS273_3  0.442    0.456    0.452    0.458    0.465    0.459    0.458    0.468    0.466    0.461     0.398
C1902d1TS273_2  0.440    0.475    0.479    0.478    0.482    0.480    0.480    0.475    0.475    0.469     0.398
C1902d1TS215_2  0.366    0.396    0.406    0.407    0.403    0.399    0.396    0.394    0.393    0.394     0.352
C1902d1TS103_1  0.357    0.362    0.362    0.357    0.360    0.360    0.360    0.360    0.360    0.358     0.341
C1902d1TS215_1  0.354    0.359    0.369    0.376    0.374    0.375    0.372    0.376    0.374    0.376     0.338
C1902d1TS438_1  0        0.508    0.511    0.498    0.514    0.514    0.517    0.517    0.514    0.509     0.448
C1902d1TS131_2  0        0.490    0.513    0.505    0.509    0.506    0.510    0.505    0.515    0.511     0.430
C1902d1TS210_4  0        0.473    0.478    0.463    0.479    0.479    0.481    0.478    0.478    0.473     0.408
C1902d1TS228_5  0        0.466    0.473    0.467    0.472    0.470    0.477    0.479    0.489    0.486     0.432
C1902d1TS044_1  0        0.457    0.472    0.460    0.471    0.473    0.472    0.470    0.470    0.466     0.417
C1902d1TS258_3  0        0.448    0.446    0.460    0.464    0.462    0.469    0.473    0.470    0.473     0.401
C1902d1TS228_1  0        0.444    0.451    0.451    0.453    0.451    0.453    0.457    0.459    0.456     0.413
C1902d1TS438_3  0        0        0.503    0.491    0.503    0.505    0.506    0.509    0.507    0.502     0.447
C1902d1TS131_3  0        0        0.501    0.492    0.500    0.500    0.512    0.506    0.512    0.511     0.430
C1902d1TS258_1  0        0        0.469    0.465    0.473    0.471    0.483    0.492    0.489    0.486     0.413
C1902d1TS215_5  0        0        0.375    0.371    0.373    0.379    0.378    0.380    0.380    0.378     0.353
C1902d1TS131_1  0        0        0        0.488    0.496    0.498    0.505    0.500    0.504    0.503     0.428
C1902d1TS067_1  0        0        0        0.363    0.365    0.364    0.364    0.365    0.365    0.364     0.356
C1902d1TS049_2  0        0        0        0.199    0.198    0.199    0.198    0.199    0.198    0.201     0.232
C1902d1TS258_5  0        0        0        0        0.459    0.456    0.470    0.472    0.470    0.473     0.402
C1902d1TS210_5  0        0        0        0        0        0.464    0.470    0.470    0.483    0.479     0.419
C1902d1TS258_2  0        0        0        0        0        0.455    0.460    0.466    0.464    0.463     0.403
C1902d1TS123_1  0        0        0        0        0        0.368    0.368    0.368    0.371    0.369     0.353
C1902d1TS347_3  0        0        0        0        0        0.360    0.360    0.360    0.361    0.360     0.346
C1902d1TS215_3  0        0        0        0        0        0        0.388    0.389    0.389    0.387     0.365
C1902d1TS003_1  0        0        0        0        0        0        0        0        0.254    0.254     0.265
C1902d1TS405_5  0        0        0        0        0        0        0        0        0        0.464     0.440
C1902d1TS240_3  0        0        0        0        0        0        0        0        0        0.461     0.432
C1902d1TS240_1  0        0        0        0        0        0        0        0        0        0.457     0.430
C1902d1TS347_2  0        0        0        0        0        0        0        0        0        0.360     0.345
C1902d1TS049_4  0        0        0        0        0        0        0        0        0        0.204     0.230
C1902d1TS240_4  0        0        0        0        0        0        0        0        0        0         0.445
C1902d1TS240_5  0        0        0        0        0        0        0        0        0        0         0.441
C1902d1TS210_2  0        0        0        0        0        0        0        0        0        0         0.440
C1902d1TS210_1  0        0        0        0        0        0        0        0        0        0         0.440
C1902d1TS240_2  0        0        0        0        0        0        0        0        0        0         0.437
C1902d1TS405_4  0        0        0        0        0        0        0        0        0        0         0.430
C1902d1TS210_3  0        0        0        0        0        0        0        0        0        0         0.426
C1902d1TS273_5  0        0        0        0        0        0        0        0        0        0         0.394
C1902d1TS123_5  0        0        0        0        0        0        0        0        0        0         0.388
C1902d1TS123_4  0        0        0        0        0        0        0        0        0        0         0.372
C1902d1TS067_3  0        0        0        0        0        0        0        0        0        0         0.371
C1902d1TS438_2  0        0        0        0        0        0        0        0        0        0         0.364
C1902d1TS123_3  0        0        0        0        0        0        0        0        0        0         0.361
C1902d1TS347_1  0        0        0        0        0        0        0        0        0        0         0.352
C1902d1TS123_2  0        0        0        0        0        0        0        0        0        0         0.351
C1902d1TS067_2  0        0        0        0        0        0        0        0        0        0         0.343
C1902d1TS215_4  0        0        0        0        0        0        0        0        0        0         0.339
C1902d1TS067_4  0        0        0        0        0        0        0        0        0        0         0.335
C1902d1TS049_1  0        0        0        0        0        0        0        0        0        0         0.245
C1902d1TS049_3  0        0        0        0        0        0        0        0        0        0         0.237
C1902d1TS049_5  0        0        0        0        0        0        0        0        0        0         0.234
